smartsolo,smartsolo_lat,smartsolo_lon,sapphire,sapphire_lat,sapphire_lon,sapphire_dist_m,das_channel,das_lat,das_lon,das_dist_m
21777,60.74094522222222,11.543485166666667,SM317,60.74094522222222,11.543485166666667,0.0,207,60.74095925256336,11.543461948748645,2.011955883055998
22990,60.724625611111115,11.54217,SM484,60.724625611111115,11.54217,0.0,2057,60.7246361881323,11.54213604860458,2.195953932156181
23962,60.744968444444446,11.524684083333334,SM320,60.74480938888889,11.52452525,19.726670933522925,3983,60.74495311223192,11.524493665201849,10.525121382022858
23971,60.731099444444446,11.542655694444445,SM431,60.731099444444446,11.542655694444445,0.0,1866,60.73111324860427,11.542974079538958,17.44040255382779
23976,60.73275211111111,11.534821166666667,SM370,60.73275211111111,11.534821166666667,0.0,2712,60.73281533117216,11.53476672426703,7.644957804601837
23999,60.73132708333333,11.529532166666668,SM374,60.731447805555554,11.53035838888889,47.045827272192845,2839,60.73129205069099,11.529551904610745,4.049344274588838
24030,60.732423833333335,11.559847694444445,SM444,60.732423833333335,11.559847694444445,0.0,1181,60.73243586778545,11.559904116567598,3.357870391996633
24120,60.73114977777778,11.527348055555557,SM346,60.73114977777778,11.527348055555557,0.0,2875,60.731174389947455,11.527338536768063,2.7911516394696223
24170,60.73467655555556,11.538895305555556,SM327,60.73467655555556,11.538895305555556,0.0,2608,60.734685385197885,11.538889661962994,1.03089586456199
24200,60.73025222222223,11.565276583333334,SM458,60.73025222222223,11.565276583333334,0.0,1288,60.730238677808934,11.56525571749459,1.8904878799177531
24245,60.74188108333333,11.545177277777778,SM363,60.74188108333333,11.545177277777778,0.0,244,60.74186919586386,11.545209476088083,2.199773942683078
24271,60.728479194444446,11.543374222222223,SM445,60.72872319444445,11.543421972222221,27.312173808274444,1944,60.728487052990786,11.543484642934084,6.088806607183926
24276,60.73609808333333,11.534728305555555,SM410,60.73609808333333,11.534728305555555,0.0,3679,60.7361217765322,11.534735773953752,2.6712639984977775
24282,60.72977708333333,11.543500305555556,SM361,60.72948761111111,11.5435175,32.26796893265683,1905,60.729760372080875,11.543452440332514,3.207633282376412
24326,60.7344435,11.53636886111111,SM364,60.73454616666667,11.536360305555556,11.449119441999928,2654,60.73442475817005,11.536348359138245,2.369004227063543
24355,60.73105405555556,11.564358083333333,SM455,60.73105405555556,11.564358083333333,0.0,1260,60.73106524269908,11.564417351619376,3.465855074846216
