sensor,lat,lon,elev
4397,"N 60 43' 56.6919""","E 11 32' 31.4031""",315.851
439,"N 60 43' 55.9714""","E 11 32' 33.2723""",320.971
432,"N 60 43' 54.9356""","E 11 32' 33.4848""",322.417
395,"N 60 43' 54.0160""","E 11 32' 33.2854""",321.903
212,"N 60 43' 52.6391""","E 11 32' 34.1205""",319.711
431,"N 60 43' 51.9580""","E 11 32' 33.5605""",317.986
3971,"N 60 43' 51.9580""","E 11 32' 33.5605""",317.986
153,"N 60 43' 51.2414""","E 11 32' 34.6622""",319.604
496,"N 60 43' 50.2995""","E 11 32' 35.4537""",321.089
491,"N 60 43' 49.3034""","E 11 32' 35.4959""",322.185
482,"N 60 43' 48.2377""","E 11 32' 36.2694""",316.522
203,"N 60 43' 47.1975""","E 11 32' 36.6011""",313.845
4282,"N 60 43' 47.1975""","E 11 32' 36.6011""",313.845
361,"N 60 43' 46.1554""","E 11 32' 36.6630""",311.288
465,"N 60 43' 45.3012""","E 11 32' 36.3564""",314.866
437,"N 60 43' 44.1314""","E 11 32' 37.2138""",316.037
445,"N 60 43' 43.4035""","E 11 32' 36.3191""",311.393
477,"N 60 43' 42.5251""","E 11 32' 36.1472""",311.149
4271,"N 60 43' 42.5251""","E 11 32' 36.1472""",311.149
492,"N 60 43' 41.7084""","E 11 32' 37.1642""",310.416
497,"N 60 43' 40.6675""","E 11 32' 37.3779""",318.09
478,"N 60 43' 39.4749""","E 11 32' 36.8514""",323.306
454,"N 60 43' 38.4415""","E 11 32' 36.1814""",316.049
485,"N 60 43' 37.5239""","E 11 32' 36.1250""",314.7
5344,"N 60 43' 37.5239""","E 11 32' 36.1250""",314.7
440,"N 60 43' 36.4765""","E 11 32' 35.8638""",314.444
219,"N 60 43' 35.3044""","E 11 32' 35.5211""",313.461
433,"N 60 43' 34.2133""","E 11 32' 35.2698""",313.35
483,"N 60 43' 33.4844""","E 11 32' 34.8912""",312.561
479,"N 60 43' 33.0495""","E 11 32' 34.7101""",312.302
4481,"N 60 43' 33.0495""","E 11 32' 34.7101""",312.302
487,"N 60 43' 32.3741""","E 11 32' 34.2828""",313.217
493,"N 60 43' 31.3895""","E 11 32' 33.9376""",313.143
490,"N 60 43' 30.4764""","E 11 32' 33.1263""",313.755
489,"N 60 43' 29.6575""","E 11 32' 32.5368""",324.04
484,"N 60 43' 28.6522""","E 11 32' 31.8120""",327.163
2990,"N 60 43' 28.6522""","E 11 32' 31.8120""",327.163
481,"N 60 43' 27.7936""","E 11 32' 30.7760""",327.026
480,"N 60 43' 27.1323""","E 11 32' 30.2697""",332.838
500,"N 60 43' 26.0636""","E 11 32' 29.5335""",337.242
393,"N 60 43' 25.3713""","E 11 32' 28.6829""",348.776
498,"N 60 43' 24.0398""","E 11 32' 27.9727""",345.685
2354,"N 60 43' 24.0398""","E 11 32' 27.9727""",345.685
499,"N 60 43' 23.1362""","E 11 32' 26.9082""",347.9
315,"N 60 43' 22.0627""","E 11 32' 25.8828""",352.431
464,"N 60 43' 21.3636""","E 11 32' 24.7426""",351.92
216,"N 60 43' 20.4604""","E 11 32' 23.5604""",354.141
456,"N 60 43' 19.9345""","E 11 32' 22.9620""",352.319
4767,"N 60 43' 19.9345""","E 11 32' 22.9620""",352.319
205,"N 60 43' 19.0508""","E 11 32' 21.8356""",351.221
461,"N 60 43' 18.2936""","E 11 32' 20.8042""",350.789
400,"N 60 43' 17.7178""","E 11 32' 19.6773""",348.767
4492,"N 60 43' 17.7178""","E 11 32' 19.6773""",348.767
352,"N 60 44' 5.1329""","E 11 32' 21.9250""",302.292
327,"N 60 44' 4.8356""","E 11 32' 20.0231""",298.256
4170,"N 60 44' 4.8356""","E 11 32' 20.0231""",298.256
368,"N 60 44' 5.7821""","E 11 32' 16.9366""",299.803
362,"N 60 44' 5.1958""","E 11 32' 13.7809""",299.021
364,"N 60 44' 4.3662""","E 11 32' 10.8971""",295.801
4326,"N 60 44' 3.9966""","E 11 32' 10.9279""",294.694
365,"N 60 44' 2.6908""","E 11 32' 11.5092""",297.387
369,"N 60 44' 1.2191""","E 11 32' 11.5308""",286.467
125,"N 60 44' 0.2009""","E 11 32' 12.4202""",303.258
367,"N 60 43' 59.1944""","E 11 32' 9.6490""",304.497
374,"N 60 43' 58.5732""","E 11 32' 6.8279""",301.722
336,"N 60 43' 58.1525""","E 11 32' 4.0090""",302.905
366,"N 60 43' 58.1916""","E 11 32' 1.1109""",302.115
360,"N 60 43' 59.4114""","E 11 31' 59.9260""",293.308
359,"N 60 44' 0.6249""","E 11 31' 58.6939""",295.87
5394,"N 60 44' 0.6249""","E 11 31' 58.6939""",295.87
349,"N 60 44' 0.3406""","E 11 31' 56.0718""",297.245
348,"N 60 43' 58.2385""","E 11 31' 54.0916""",297.118
5305,"N 60 43' 58.2385""","E 11 31' 54.0916""",297.118
326,"N 60 43' 56.6570""","E 11 31' 52.9411""",300.126
329,"N 60 43' 54.9615""","E 11 31' 52.2708""",301.202
5397,"N 60 43' 54.3811""","E 11 31' 51.9574""",300.742
372,"N 60 43' 53.7548""","E 11 31' 51.4672""",302.112
374,"N 60 43' 53.2121""","E 11 31' 49.2902""",309.45
322,"N 60 43' 52.7775""","E 11 31' 46.3158""",308.603
3999,"N 60 43' 52.7775""","E 11 31' 46.3158""",308.603
339,"N 60 43' 51.8455""","E 11 31' 43.4197""",314.226
